target_mae,yerr
7.385378405352884,2.2488269769015274
9.676439344141228,2.884526914977436
5.350237003735882,2.3688277711261327
4.749190627574474,2.7338369328580656
7.892939308586005,4.151996763261372
5.095538232827431,3.2893761091277165
5.2247659702011955,2.141310420710455
5.3399770569679506,1.2226241245365532
4.1209131970703385,1.0980306932361248
3.3141606063623077,0.8468041249129028
3.4726365637022476,0.8103533451963162
3.2680734753528538,0.7177917287417516
3.4135454144771615,0.8656717079026648
2.9981264852519978,0.7700877067143674
3.367194347474753,1.024864095641629
3.568256487946391,0.8745741044704574
3.1179079009765474,0.708576064968024
3.590823806869366,0.6245898324251116
2.7840636783043426,1.1350616397365745
2.7363406517253908,0.7275948840571297
2.711826354780832,0.7646828366319487
3.576298314021195,1.4821265521827016
3.491265504697484,1.581929956451753
3.266470021239778,1.3225081492192288
3.1461100086045697,1.158431518895023
3.131346801999419,1.3869341813136167
3.31748348460556,1.2363780302490082
3.23363392277877,1.361277007863806
2.621575983064415,0.8562131543041965
2.9008814082367635,0.9420191417944608
3.462887300343958,0.8105635260949079
3.6970424554544654,1.5704082803489485
2.981443649804549,1.412019162571174
3.228846747299196,1.3329798874527932
2.843566106396708,1.0749672382972983
2.6349443879505805,0.6774635333505664
2.521192320429376,1.0965273547549883
2.454559283004579,0.7857169868989193
3.0742640356215247,1.7101346283750465
2.5056818667400598,0.8301018206559689
2.3810526107172554,0.8986619865846299
2.883908087210123,0.8216574483861128
2.774339135137042,0.9404677069368547
2.6772877451268866,1.0130154930778572
2.889438711650859,1.12301413393257
2.9073274830344302,1.4534140877034363
2.634063455933326,1.1118747896028456
2.7009517025794665,1.1382759537165459
3.005283787029031,1.1586570910549816
2.7793016477711094,1.0490807764137573
3.1186421366209855,1.3316620770800407
2.6352603142910183,0.9355674990638384
3.0567286201427675,1.626075458779757
2.5933736905286264,1.0659883091002753
2.4459319904756347,0.8912609213673007
2.6344652506998227,1.1651343830062417
2.6207813307540424,0.891155522340464
3.0884036126404006,1.512886636603251
