sample_name,Nb_power_watts,Nb_angle_mm,Ta_power_watts,Ta_angle_mm,Ti_power_watts,Ti_angle_mm,Sb_power_watts,Sb_angle_mm,Fe_power_watts,Fe_angle_mm,V_power_watts,V_angle_mm,Ti_measured_percent,Fe_measured_percent,Ta_measured_percent,Nb_measured_percent,Sb_measured_percent,V_measured_percent,sum_percent
NSJ114calib,0,6,20,12,0,6,10,20,70,6,0,6,0,40.341,42.279,0,17.38,0,100
NSJ126calib,0,6,20,12,0,6,13,18,26,6,0,6,0,33.986,34.647,0,31.366,0,99.999
NSJ137calib,100,6,0,6,0,6,10,19,60,6,0,6,0,74.73,0,17.49,7.77,0,99.99
NSJ123calib,0,6,20,15,0,6,10,18,41,6,0,6,0,73.65,6.57,0,20.63,0,100.85
NSJ125calib,0,6,20,12,0,6,10,18,26,6,0,6,0,59.88,18.85,0,21.25,0,99.98
NSJ105calib,0,6,0,6,0,6,13,6,90,6,70,6,0,20.54690909,0,0,75.66918182,3.783727273,99.99981818
NSJ104calib,0,6,0,6,0,6,13,6,75,6,60,6,0,18.116,0,0,77.83,4.054,100
NSJ106calib,0,6,0,6,0,6,13,12,48,6,82,6,0,26.833,0,0,67.86445455,5.302363636,99.99981819
NSJ133calib,0,6,0,6,0,6,10,6,28,6,109,6,0,34.64,0,0,57.83,7.53,100
NSJ107calib,0,6,0,6,0,6,13,12,48,6,82,6,0,12.184,0,0,80.018,7.797,99.999
NSJ102calib,0,6,0,6,0,6,25,6,38,6,50,6,0,7.4937,0,0,83.411,9.0953,100
NSJ108calib,0,6,0,6,0,6,10,12,70,6,140,6,0,21.398,0,0,62.028,16.574,100
NSJ110calib,0,6,0,6,0,6,10,18,70,6,140,6,0,34.447,0,0,36.931,28.622,100
NSJ115calib,0,6,0,6,0,6,10,19,60,6,135,6,0,33.651,0,0,31.537,34.811,99.999
NSJ113calib,0,6,0,6,0,6,10,20,60,6,140,6,0,35.404,0,0,26.811,37.785,100
NSJ117calib,0,6,20,15,0,6,10,19,0,6,135,6,0,0,10.76,0,24.48,65.68,100.92
